year,ac_no,candidate,gender,age,category,party,general_votes,postal_votes,total_votes,vote_pct,position
2021,25,Sudip Mandal,MALE,42.0,SC,BSP,1564,13,1577,0.66,5
2021,25,Harish Chandra Barman,MALE,38.0,SC,SUCI,1261,13,1274,0.53,6
2021,26,Sankar Ghosh,MALE,48.0,GENERAL,BJP,88580,790,89370,50.03,1
2021,26,Dr. Omprakash Mishra,MALE,60.0,GENERAL,TMC,53153,631,53784,30.11,2
2021,26,Asok Bhattacharya,MALE,71.0,GENERAL,CPI(M),28269,566,28835,16.14,3
2021,26,Kakali Majumdar (Roy),FEMALE,45.0,GENERAL,BSP,1241,14,1255,0.7,4
2021,26,Habul Ghosh,MALE,32.0,GENERAL,IND,951,6,957,0.54,5
2021,26,Nintu Dutta,MALE,48.0,GENERAL,RPI(A),645,4,649,0.36,6
2021,26,Chayan Guha,MALE,51.0,GENERAL,AMB,592,2,594,0.33,7
2021,26,Bhushan Kumar Soni,MALE,46.0,GENERAL,JD(U),443,4,447,0.25,8
2021,26,Dipti Roy,FEMALE,56.0,GENERAL,SUCI,368,11,379,0.21,9
2021,26,Chhotan Saha,MALE,28.0,GENERAL,RPPRINAT,301,5,306,0.17,10
2021,27,Durga Murmu,MALE,42.0,ST,BJP,105123,528,105651,50.89,1
2021,27,Chhotan Kisku,MALE,53.0,ST,TMC,77599,341,77940,37.55,2
2021,27,Sunil Chandra Tirkey,MALE,72.0,ST,INC,12747,68,12815,6.17,3
2021,27,Sumanti Ekka,FEMALE,26.0,ST,CPI(ML)(L),2769,18,2787,1.34,4
2021,27,Karuna Ranjan Soren,MALE,39.0,ST,BSP,2284,7,2291,1.1,5
2021,27,Bhola Tirki,MALE,74.0,ST,SUCI,1827,5,1832,0.88,6
2021,27,Amit Lakra,MALE,33.0,ST,BTP,1683,16,1699,0.82,7
2021,28,HAMIDUL RAHAMAN,MALE,61.0,GENERAL,TMC,123944,979,124923,61.2,1
2021,28,MD. SHAHIN AKHTER,MALE,51.0,GENERAL,BJP,59604,414,60018,29.4,2
2021,28,ANWARUL HAQUE,MALE,64.0,GENERAL,CPI(M),12188,91,12279,6.02,3
2021,28,AJOY KUMAR SINHA,MALE,45.0,SC,AMB,3158,8,3166,1.55,4
2021,28,SUROJIT KISKU,MALE,30.0,ST,IND,2190,3,2193,1.07,5
2021,29,ABDUL KARIM CHOWDHARY,MALE,74.0,GENERAL,TMC,99380,751,100131,58.91,1
2021,29,SAUMYAROOP MANDAL,MALE,43.0,GENERAL,BJP,61909,782,62691,36.88,2
2021,29,SADIQUL ISLAM,MALE,37.0,GENERAL,INC,3405,56,3461,2.04,3
2021,29,BIRENDRA NATH SINHA,MALE,42.0,SC,SUCI,1142,10,1152,0.68,4
2021,29,MD. NAIYAR ALAM,MALE,42.0,GENERAL,IND,563,0,563,0.33,5
2021,30,MD. GHULAM RABBANI,MALE,51.0,GENERAL,TMC,105083,566,105649,65.4,1
2021,30,MD. GHULAM SARWAR,MALE,37.0,GENERAL,BJP,32029,106,32135,19.89,2
2021,30,MASOOD MD. NASEEM AHSEN,MALE,53.0,GENERAL,INC,19305,86,19391,12.0,3
2021,30,SUNIL BISWAS,MALE,45.0,SC,BSP,861,4,865,0.54,4
2021,30,SHAMBHU LAL ROY,MALE,30.0,SC,IND,693,1,694,0.43,5
2021,30,RAGHU NATH SINGHA,MALE,51.0,SC,IND,405,0,405,0.25,6
2021,30,NABIN CHANDRA SINGHA,MALE,38.0,SC,SUCI,378,2,380,0.24,7
2021,31,AZAD MINHAJUL ARFIN,MALE,49.0,GENERAL,TMC,85922,389,86311,49.78,1
2021,31,SACHIN PRASAD,MALE,41.0,SC,BJP,52170,304,52474,30.26,2
