ac_no,ac_name,reservation,is_reserved,ac_name_2021,ac_name_2026,district,region
225,NARAYANGARH,GEN,0,Narayangarh,NARAYANGARH,Paschim Medinipur,Jangalmahal
226,SABANG,GEN,0,Sabang,SABANG,Paschim Medinipur,Jangalmahal
227,PINGLA,GEN,0,Pingla,PINGLA,Paschim Medinipur,Jangalmahal
228,KHARAGPUR,GEN,0,Kharagpur,KHARAGPUR,Paschim Medinipur,Jangalmahal
229,DEBRA,GEN,0,Debra,DEBRA,Paschim Medinipur,Jangalmahal
230,DASPUR,GEN,0,Daspur,DASPUR,Paschim Medinipur,Jangalmahal
231,GHATAL,SC,1,Ghatal,GHATAL (SC),Paschim Medinipur,Jangalmahal
232,CHANDRAKONA,SC,1,Chandrakona,CHANDRAKONA (SC),Paschim Medinipur,Jangalmahal
233,GARBETA,GEN,0,Garbeta,GARBETA,Paschim Medinipur,Jangalmahal
234,SALBONI,GEN,0,Salboni,SALBONI,Paschim Medinipur,Jangalmahal
235,KESHPUR,SC,1,Keshpur,KESHPUR (SC),Paschim Medinipur,Jangalmahal
236,MEDINIPUR,GEN,0,Medinipur,MEDINIPUR,Paschim Medinipur,Jangalmahal
237,BINPUR,ST,1,Binpur,BINPUR (ST),Jhargram,Jangalmahal
238,BANDWAN,ST,1,Bandwan,BANDWAN (ST),Purulia,Jangalmahal
239,BALARAMPUR,GEN,0,Balarampur,BALARAMPUR,Purulia,Jangalmahal
240,BAGHMUNDI,GEN,0,Baghmundi,BAGHMUNDI,Purulia,Jangalmahal
241,JOYPUR,GEN,0,Joypur,JOYPUR,Purulia,Jangalmahal
242,PURULIA,GEN,0,Purulia,PURULIA,Purulia,Jangalmahal
243,MANBAZAR,ST,1,Manbazar,MANBAZAR (ST),Purulia,Jangalmahal
244,KASHIPUR,GEN,0,Kashipur,KASHIPUR,Purulia,Jangalmahal
245,PARA,SC,1,Para,PARA (SC),Purulia,Jangalmahal
246,RAGHUNATHPUR,SC,1,Raghunathpur,RAGHUNATHPUR (SC),Purulia,Jangalmahal
247,SALTORA,SC,1,Saltora,SALTORA (SC),Bankura,Jangalmahal
248,CHHATNA,GEN,0,Chhatna,CHHATNA,Bankura,Jangalmahal
249,RANIBANDH,ST,1,Ranibandh,RANIBANDH (ST),Bankura,Jangalmahal
250,RAIPUR,ST,1,Raipur,RAIPUR (ST),Bankura,Jangalmahal
251,TALDANGRA,GEN,0,Taldangra,TALDANGRA,Bankura,Jangalmahal
252,BANKURA,GEN,0,Bankura,BANKURA,Bankura,Jangalmahal
