state,ac_no,ac_name,candidate,gender,age,category,party,general_votes,postal_votes,total_votes,vote_pct,total_electors,year
West Bengal,234,SALBONI,Srikanta Mahata,MALE,49.0,GENERAL,TMC,117042,571,117613,44.14,279613,2026
West Bengal,234,SALBONI,Mohan Tudu,MALE,47.0,ST,AISF,8582,53,8635,3.24,279613,2026
West Bengal,234,SALBONI,Arup Mukherjee,MALE,61.0,GENERAL,INC,2685,12,2697,1.01,279613,2026
West Bengal,234,SALBONI,Nota,,,,NOTA,1909,12,1921,0.72,279613,2026
West Bengal,234,SALBONI,Jharna Jana,FEMALE,52.0,GENERAL,SUCI,1753,5,1758,0.66,279613,2026
West Bengal,234,SALBONI,Atanu Maji,MALE,29.0,GENERAL,IND,993,2,995,0.37,279613,2026
West Bengal,235,KESHPUR (SC),Seuli Saha,FEMALE,56.0,SC,TMC,142633,490,143123,56.36,268213,2026
West Bengal,235,KESHPUR (SC),Suvendu Samanta,MALE,42.0,SC,BJP,92591,427,93018,36.63,268213,2026
West Bengal,235,KESHPUR (SC),Gurupada Mondal,MALE,62.0,SC,CPI(M),10358,74,10432,4.11,268213,2026
West Bengal,235,KESHPUR (SC),Kamal Kishor,MALE,54.0,SC,INC,1829,7,1836,0.72,268213,2026
West Bengal,235,KESHPUR (SC),Ajoy Dome,MALE,28.0,SC,IND,1832,0,1832,0.72,268213,2026
West Bengal,235,KESHPUR (SC),Haradhan Sing,MALE,41.0,SC,SUCI,1552,8,1560,0.61,268213,2026
West Bengal,235,KESHPUR (SC),Nota,,,,NOTA,1541,12,1553,0.61,268213,2026
West Bengal,235,KESHPUR (SC),Arun Karan,MALE,30.0,SC,IND,608,1,609,0.24,268213,2026
West Bengal,236,MEDINIPUR,Sankar Kumar Guchhait,MALE,42.0,GENERAL,BJP,130940,2101,133041,54.51,260610,2026
West Bengal,236,MEDINIPUR,Sujoy Hazra,MALE,51.0,GENERAL,TMC,93508,786,94294,38.63,260610,2026
West Bengal,236,MEDINIPUR,Manikuntal Khamrai,MALE,51.0,GENERAL,CPI,7484,165,7649,3.13,260610,2026
West Bengal,236,MEDINIPUR,Sambhunath Chattopadhyay,MALE,71.0,GENERAL,INC,2165,28,2193,0.9,260610,2026
West Bengal,236,MEDINIPUR,Nota,,,,NOTA,1599,29,1628,0.67,260610,2026
West Bengal,236,MEDINIPUR,Sushrita Saren,FEMALE,30.0,ST,SUCI,1374,12,1386,0.57,260610,2026
West Bengal,236,MEDINIPUR,Sk. Mafizul Haque,MALE,45.0,GENERAL,IND,1100,5,1105,0.45,260610,2026
West Bengal,236,MEDINIPUR,Pronab Kumar Biswas,MALE,62.0,SC,BSP,1014,3,1017,0.42,260610,2026
West Bengal,236,MEDINIPUR,Shankar Chakraborty,MALE,47.0,GENERAL,IND,814,1,815,0.33,260610,2026
West Bengal,236,MEDINIPUR,Saleha Begum,FEMALE,45.0,GENERAL,RASLJP,618,3,621,0.25,260610,2026
West Bengal,236,MEDINIPUR,Shashanka Patra,MALE,74.0,GENERAL,AMB,334,3,337,0.14,260610,2026
West Bengal,237,BINPUR (ST),Dr. Pranat Tudu,MALE,48.0,ST,BJP,105828,1410,107238,51.54,221524,2026
West Bengal,237,BINPUR (ST),Birbaha Hansda,FEMALE,43.0,ST,TMC,83437,824,84261,40.49,221524,2026
West Bengal,237,BINPUR (ST),Rabindranath Sardar,MALE,51.0,ST,CPI(M),5556,63,5619,2.7,221524,2026
West Bengal,237,BINPUR (ST),Nota,,,,NOTA,2665,14,2679,1.29,221524,2026
West Bengal,237,BINPUR (ST),Golapi Saren,FEMALE,50.0,ST,INC,2013,27,2040,0.98,221524,2026
West Bengal,237,BINPUR (ST),Bholanath Sardar,MALE,44.0,ST,BSP,1897,11,1908,0.92,221524,2026
